journal_name,journal_name_norm,issn,eissn,jcr_year,jif,categories,source_files,% of Articles in Citable items,% of Citable OA,2024 JCI,2024 JIF,5 Year JIF,5 Year JIF Quartile,AIS Quartile,AIS Rank,Article Influence Score,Citable Items,Cited Half-Life,Citing Half-Life,Edition,Eigenfactor,Immediacy Index,JCI Percentile,JCI Quartile,JCI Rank,JCR Abbreviation,JIF Percentile,JIF Quartile,JIF Rank,JIF Without Self Cites,Normalized Eigenfactor,Publisher,Total Articles,Total Citations
French-Ukrainian Journal of Chemistry,FRENCH-UKRAINIAN JOURNAL OF CHEMISTRY,2312-3222,2312-3222,2024,0.3,"CHEMISTRY, ANALYTICAL","CHEMISTRY, ANALYTICAL_JCR_JournalResults_02_2026.csv",92.86%,6.98%,0.09,0.3,0.3,Q4,Q4,110/111,0.032,14,,11.6,ESCI,0,0.1,3.15,Q4,108/111,FRENCH,5.0,Q4,106/111,0.2,0.007,TARAS SHEVCHENKO NATL UNIV KYIV,13,64
Glasnik Hemicara i Tehnologa Bosne i Hercegovine,GLASNIK HEMICARA I TEHNOLOGA BOSNE I HERCEGOVINE,0367-4444,2232-7266,2024,0.3,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,79.31%,0.04,0.3,0.2,Q4,Q4,238/238,0.019,11,,8.7,ESCI,0,<0.1,2.70,Q4,235/241,GLAS HEMICARA TEHNOL,4.8,Q4,228/239,0.3,0.002,"UNIV SARAJEVO, FAC SCIENCE",11,33
IEICE Communications Express,IEICE COMMUNICATIONS EXPRESS,2187-0136,2187-0136,2024,0.3,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,96.88%,0.08,0.3,0.3,Q4,Q4,350/359,0.048,88,3.8,6.1,ESCI,0,0.2,2.85,Q4,358/368,IEICE COMMUN EXPRESS,2.6,Q4,359/368,0.3,0.057,IEICE-INST ELECTRONICS INFORMATION COMMUNICATION ENGINEERS,88,272
INDIAN JOURNAL OF HETEROCYCLIC CHEMISTRY,INDIAN JOURNAL OF HETEROCYCLIC CHEMISTRY,0971-1627,2456-4311,2024,0.3,"CHEMISTRY, ORGANIC","CHEMISTRY, ORGANIC_JCR_JournalResults_02_2026.csv",97.14%,0%,0.09,0.3,0.3,Q4,Q4,56/57,0.033,70,8.3,9.1,SCIE,0,0.1,4.39,Q4,55/57,INDIAN J HETEROCY CH,4.4,Q4,55/57,0.3,0.02,CONNECT JOURNALS,68,276
INGE CUC,INGE CUC,0122-6517,2382-4700,2024,0.3,"ENGINEERING, MULTIDISCIPLINARY","ENGINEERING, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,98.18%,0.05,0.3,0.3,Q4,Q4,160/174,0.053,12,,7.8,ESCI,0,<0.1,6.98,Q4,167/179,INGE CUC,11.5,Q4,159/179,0.3,0.015,UNIV COSTA,12,61
Ingenieria Solidaria,INGENIERIA SOLIDARIA,1900-3102,2357-6014,2024,0.3,"ENGINEERING, MULTIDISCIPLINARY","ENGINEERING, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",78.57%,94.92%,0.06,0.3,0.3,Q4,Q4,165/174,0.03,14,,7.3,ESCI,0,<0.1,9.78,Q4,162/179,ING SOLIDAR,11.5,Q4,159/179,0.2,0.007,"UNIV COOPERATIVE COLOMBIA, FAC ENGINEERING",11,56
Inorganic Materials-Applied Research,INORGANIC MATERIALS-APPLIED RESEARCH,2075-1133,2075-115X,2024,0.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,0.16%,0.06,0.3,,,,,,201,4.6,9.8,ESCI,0,0.1,1.84,Q4,455/463,INORG MATER-APPL RES,1.8,Q4,453/461,0.2,0.085,SPRINGERNATURE,201,566
International Journal of Autonomous and Adaptive Communications Systems,INTERNATIONAL JOURNAL OF AUTONOMOUS AND ADAPTIVE COMMUNICATIONS SYSTEMS,1754-8632,1754-8640,2024,0.3,"COMPUTER SCIENCE, INFORMATION SYSTEMS | ENGINEERING, ELECTRICAL & ELECTRONIC","COMPUTER SCIENCE, INFORMATION SYSTEMS_JCR_JournalResults_02_2026.csv;ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,1.06%,0.06,0.3,,,,,,30,,6.9,ESCI,0,0.2,0.97 | 1.49,Q4,256/258 | 363/368,INT J AUTON ADAPT CO,2.1 | 2.6,Q4,253/258 | 359/368,0.2,0.012,INDERSCIENCE ENTERPRISES LTD,30,72
INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY,INTERNATIONAL JOURNAL OF MATERIALS AND PRODUCT TECHNOLOGY,0268-1900,1741-5209,2024,0.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,0%,0.07,0.3,0.5,Q4,Q4,440/455,0.065,27,14.1,4.9,SCIE,0,0.1,2.48,Q4,452/463,INT J MATER PROD TEC,1.8,Q4,453/461,0.3,0.024,INDERSCIENCE ENTERPRISES LTD,27,522
International Journal of Nanotechnology,INTERNATIONAL JOURNAL OF NANOTECHNOLOGY,1475-7435,1741-8151,2024,0.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",100%,0%,0.05,0.3,0.3,Q4,Q4,146/147 | 449/455,0.041,39,8.8,7.8,SCIE,0,0.2,1.62 | 1.70,Q4,145/147 | 456/463,INT J NANOTECHNOL,0.3 | 1.8,Q4,147/147 | 453/461,0.3,0.026,INDERSCIENCE ENTERPRISES LTD,39,477
INTERNATIONAL JOURNAL OF POWDER METALLURGY,INTERNATIONAL JOURNAL OF POWDER METALLURGY,0888-7462,0888-7462,2024,0.3,METALLURGY & METALLURGICAL ENGINEERING,METALLURGY & METALLURGICAL ENGINEERING_JCR_JournalResults_02_2026.csv,81.82%,0%,0.06,0.3,0.4,Q4,Q4,93/94,0.038,11,19.9,9,SCIE,0,<0.1,2.58,Q4,95/97,INT J POWDER METALL,2.6,Q4,95/97,0.2,0.004,AMER POWDER METALLURGY INST,9,222
ITE Transactions on Media Technology and Applications,ITE TRANSACTIONS ON MEDIA TECHNOLOGY AND APPLICATIONS,2186-7364,2186-7364,2024,0.3,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,40.79%,0.11,0.3,0.5,Q4,Q4,336/359,0.081,26,5.8,8.6,ESCI,0,0.1,5.30,Q4,349/368,ITE TRANS MEDIA TECH,2.6,Q4,359/368,0.3,0.019,INST IMAGE INFORMATION & TELEVISION ENGINEERS,26,141
Izvestiya Vuzov-Prikladnaya Khimiya i Biotekhnologiya,IZVESTIYA VUZOV-PRIKLADNAYA KHIMIYA I BIOTEKHNOLOGIYA,2227-2925,2500-1558,2024,0.3,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",91.67%,86.41%,0.04,0.3,0.2,Q4,Q4,230/238,0.028,60,5.1,6.6,ESCI,0,<0.1,2.70,Q4,235/241,IZV VUZOV-PRIKL KHIM,4.8,Q4,228/239,0.2,0.017,IRKUTSK NATL RESEARCH TECHNICAL UNIV,55,136
Izvestiya Vysshikh Uchebnykh Zavedeniy-Prikladnaya Nelineynaya Dinamika,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENIY-PRIKLADNAYA NELINEYNAYA DINAMIKA,0869-6632,2542-1905,2024,0.3,"PHYSICS, MULTIDISCIPLINARY","PHYSICS, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",98.15%,98.68%,0.09,0.3,0.3,Q4,Q4,97/111,0.075,54,,12.7,ESCI,0,0.1,8.33,Q4,105/114,IZV VUZ-PRIKL NELINE,7.5,Q4,106/114,0.2,0.029,SARATOV STATE UNIV,53,94
Journal of Cellular Automata,JOURNAL OF CELLULAR AUTOMATA,1557-5969,1557-5977,2024,0.3,"COMPUTER SCIENCE, THEORY & METHODS","COMPUTER SCIENCE, THEORY & METHODS_JCR_JournalResults_02_2026.csv",100%,0%,0.05,0.3,0.2,Q4,Q4,145/146,0.024,16,10.2,20.8,SCIE,0,<0.1,1.02,Q4,146/147,J CELL AUTOM,3.1,Q4,143/147,0.2,0.003,OLD CITY PUBLISHING INC,16,103
Journal of Control Science and Engineering,JOURNAL OF CONTROL SCIENCE AND ENGINEERING,1687-5249,1687-5257,2024,0.3,AUTOMATION & CONTROL SYSTEMS,AUTOMATION & CONTROL SYSTEMS_JCR_JournalResults_02_2026.csv,100%,100%,0.15,0.3,1,Q4,Q4,73/87,0.177,3,6.8,,ESCI,0,<0.1,10.67,Q4,80/89,J CONTROL SCI ENG,2.8,Q4,87/89,0.3,0.051,WILEY,3,390
JOURNAL OF COSMETIC SCIENCE,JOURNAL OF COSMETIC SCIENCE,1525-7886,,2024,0.3,"CHEMISTRY, APPLIED","CHEMISTRY, APPLIED_JCR_JournalResults_02_2026.csv",100%,1.03%,0.08,0.3,0.7,Q4,Q4,66/76,0.103,31,14.8,11.7,SCIE,0,<0.1,9.74,Q4,70/77,J COSMET SCI,5.9,Q4,72/76,0.3,0.031,SOC COSMETIC CHEMISTS,31,653
Journal of Fiber Science and Technology,JOURNAL OF FIBER SCIENCE AND TECHNOLOGY,2189-7654,2189-7654,2024,0.3,POLYMER SCIENCE,POLYMER SCIENCE_JCR_JournalResults_02_2026.csv,96.15%,100%,0.1,0.3,0.6,Q4,Q4,89/93,0.099,26,4.9,10.9,SCIE,0,<0.1,2.66,Q4,92/94,J FIBER SCI TECHNOL,2.7,Q4,92/94,0.2,0.027,SOC FIBER SCIENCE TECHNOLOGY,25,166
Journal of Geometry and Symmetry in Physics,JOURNAL OF GEOMETRY AND SYMMETRY IN PHYSICS,1312-5192,1314-5673,2024,0.3,"PHYSICS, MATHEMATICAL","PHYSICS, MATHEMATICAL_JCR_JournalResults_02_2026.csv",100%,0%,0.16,0.3,0.5,Q4,Q4,60/61,0.155,13,10.1,18.5,ESCI,0,<0.1,2.46,Q4,60/61,J GEOM SYMMETRY PHYS,0.8,Q4,61/61,0.3,0.02,"BULGARIAN ACAD SCIENCES, INST MECHANICS",13,125
Journal of Map & Geography Libraries,JOURNAL OF MAP AND GEOGRAPHY LIBRARIES,1542-0353,1542-0361,2024,0.3,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,100%,13.16%,0.1,0.3,0.5,Q4,Q4,128/159,0.112,15,,9.4,ESCI,0,0.3,21.39,Q4,131/166,J MAP GEOGR LIBR,17.8,Q4,137/166,0.3,0.009,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",15,97
Journal of the Korean Crystal Growth and Crystal Technology,JOURNAL OF THE KOREAN CRYSTAL GROWTH AND CRYSTAL TECHNOLOGY,1225-1429,2234-5078,2024,0.3,CRYSTALLOGRAPHY,CRYSTALLOGRAPHY_JCR_JournalResults_02_2026.csv,100%,0%,0.16,0.3,0.3,Q4,Q4,30/31,0.035,41,,9.7,ESCI,0,0.1,4.84,Q4,30/31,J KOR CRYST GROWTH C,4.8,Q4,30/31,0.3,0.013,"KOREAN ASSOC CRYSTAL GROWTH, INC",41,94
Journal of the Korean Electrochemical Society,JOURNAL OF THE KOREAN ELECTROCHEMICAL SOCIETY,1229-1935,1229-1935,2024,0.3,ELECTROCHEMISTRY,ELECTROCHEMISTRY_JCR_JournalResults_02_2026.csv,80%,0%,0.06,0.3,0.2,Q4,Q4,44/44,0.021,20,,7.7,ESCI,0,0.1,1.14,Q4,44/44,J KOREAN ELECTROCHEM,1.1,Q4,44/44,0.2,0.003,KOREAN ELECTROCHEMICAL SOC,16,69
Konya Journal of Engineering Sciences,KONYA JOURNAL OF ENGINEERING SCIENCES,,2667-8055,2024,0.3,"ENGINEERING, MULTIDISCIPLINARY","ENGINEERING, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,95.71%,0.07,0.3,,,,,,69,3.1,7.4,ESCI,0,0.1,10.34,Q4,161/179,KONYA J ENG SCI,11.5,Q4,159/179,0.3,0.025,Konya Teknik Univ,69,125
Korean Chemical Engineering Research,KOREAN CHEMICAL ENGINEERING RESEARCH,0304-128X,2233-9558,2024,0.3,"ENGINEERING, CHEMICAL","ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv",95.12%,0%,0.06,0.3,0.3,Q4,Q4,165/174,0.045,41,7.1,6.9,ESCI,0,0.1,5.40,Q4,167/176,KOREAN CHEM ENG RES,3.1,Q4,171/176,0.2,0.033,KOREAN INSTITUTE CHEMICAL ENGINEERS,39,377
Korean Journal of Materials Research,KOREAN JOURNAL OF MATERIALS RESEARCH,1225-0562,2287-7258,2024,0.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",98.68%,54.78%,0.05,0.3,0.2,Q4,Q4,450/455,0.032,76,7.1,8.2,ESCI,0,0.1,1.62,Q4,456/463,KOR J MATER RES,1.8,Q4,453/461,0.2,0.027,MATERIALS RESEARCH SOC KOREA,75,271
LAW LIBRARY JOURNAL,LAW LIBRARY JOURNAL,0023-9283,0023-9283,2024,0.3,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,100%,0%,0.17,0.3,0.3,Q4,Q4,134/159,0.1,13,13.7,18.9,SSCI,0,<0.1,29.82,Q3,117/166,LAW LIBR J,17.8,Q4,137/166,0.2,0.011,AMER ASSOC LAW LIBRARIES,13,133
LCGC EUROPE,LCGC EUROPE,1471-6577,1471-6577,2024,0.3,"CHEMISTRY, ANALYTICAL","CHEMISTRY, ANALYTICAL_JCR_JournalResults_02_2026.csv",,0%,0.12,0.3,0.3,Q4,Q4,107/111,0.073,0,9.6,,SCIE,0,,4.95,Q4,106/111,LC GC EUR,5.0,Q4,106/111,0.3,0.022,MJH Life Sciences,0,196
LIBRARY TRENDS,LIBRARY TRENDS,0024-2594,1559-0682,2024,0.3,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,96.55%,0%,0.09,0.3,0.7,Q3,Q3,106/159,0.207,29,17.1,20.8,SSCI,0,<0.1,19.58,Q4,134/166,LIBR TRENDS,17.8,Q4,137/166,0.3,0.062,JOHNS HOPKINS UNIV PRESS,28,960
Libres-Library and Information Science Research Electronic Journal,LIBRES-LIBRARY AND INFORMATION SCIENCE RESEARCH ELECTRONIC JOURNAL,1058-6768,1058-6768,2024,0.3,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,100%,100%,0.06,0.3,0.3,Q4,Q4,144/159,0.054,4,,9.5,ESCI,0,<0.1,15.96,Q4,140/166,LIBRES,17.8,Q4,137/166,0.3,0.003,NANYANG TECHNOLOGICAL UNIV LIBRARY,4,47
Light & Engineering,LIGHT AND ENGINEERING,0236-2945,,2024,0.3,"ENGINEERING, ELECTRICAL & ELECTRONIC | OPTICS","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv;OPTICS_JCR_JournalResults_02_2026.csv",100%,1.94%,0.08,0.3,0.3,Q4,Q4,124/125 | 356/359,0.026,81,4.9,10.2,SCIE,0,0.1,2.00 | 2.85,Q4,123/125 | 358/368,LIGHT ENG,2.0 | 2.6,Q4,123/125 | 359/368,0.1,0.021,ZNACK PUBLISHING HOUSE,81,228
MATERIALS EVALUATION,MATERIALS EVALUATION,0025-5327,0025-5327,2024,0.3,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING","MATERIALS SCIENCE, CHARACTERIZATION & TESTING_JCR_JournalResults_02_2026.csv",100%,0%,0.12,0.3,0.4,Q4,Q4,36/38,0.067,25,16.3,8.5,SCIE,0,0.4,14.47,Q4,33/38,MATER EVAL,6.8,Q4,35/37,0.3,0.025,AMER SOC NONDESTRUCTIVE TEST,25,358
Methods and Objects of Chemical Analysis,METHODS AND OBJECTS OF CHEMICAL ANALYSIS,1991-0290,2413-6166,2024,0.3,"CHEMISTRY, ANALYTICAL","CHEMISTRY, ANALYTICAL_JCR_JournalResults_02_2026.csv",100%,98.31%,0.11,0.3,0.3,Q4,Q4,109/111,0.036,23,,9.1,ESCI,0,0.1,4.05,Q4,107/111,METHODS OBJECTS CHEM,5.0,Q4,106/111,0.2,0.006,TARAS SHEVCHENKO NATL UNIV KYIV,23,50
MICROWAVE JOURNAL,MICROWAVE JOURNAL,0192-6225,,2024,0.3,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",97.5%,0%,0.04,0.3,0.3,Q4,Q4,351/359,0.043,40,14.3,6.6,SCIE,0,0.2,0.68,Q4,366/368,MICROWAVE J,2.6,Q4,359/368,0.3,0.023,HORIZON HOUSE PUBLICATIONS INC,39,392
Nafta-Gaz,NAFTA-GAZ,0867-8871,0867-8871,2024,0.3,"ENGINEERING, PETROLEUM","ENGINEERING, PETROLEUM_JCR_JournalResults_02_2026.csv",98.77%,0%,0.09,0.3,0.3,Q4,Q4,22/22,0.026,81,6.2,10.9,ESCI,0,0.1,6.25,Q4,23/24,NAFT-GAZ,2.1,Q4,24/24,0.2,0.02,INST OIL & GAS,80,247
Nauchnye i Tekhnicheskie Biblioteki-Scientific and Technical Libraries,NAUCHNYE I TEKHNICHESKIE BIBLIOTEKI-SCIENTIFIC AND TECHNICAL LIBRARIES,0130-9765,0130-9765,2024,0.3,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,95.92%,89.61%,0.09,0.3,0.2,Q4,Q4,152/159,0.027,98,3.9,7.6,ESCI,0,<0.1,19.58,Q4,134/166,NAUCHNYE TEK BIBL,17.8,Q4,137/166,0.1,0.024,RUSSIAN NATL PUBLIC LIBRARY SCIENCE & TECHNOLOGY,94,134
Nexo Revista Cientifica,NEXO REVISTA CIENTIFICA,1818-6742,1995-9516,2024,0.3,"ENGINEERING, MULTIDISCIPLINARY","ENGINEERING, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,62.32%,0.09,0.3,0.2,Q4,Q4,167/174,0.026,7,2.4,6.4,ESCI,0,0.1,12.57,Q4,157/179,NEXO REV CIENT,11.5,Q4,159/179,0.3,0.02,UNIV NACL INGENIERIA,7,101
Nonlinear Phenomena in Complex Systems,NONLINEAR PHENOMENA IN COMPLEX SYSTEMS,1561-4085,1817-2458,2024,0.3,"PHYSICS, MULTIDISCIPLINARY","PHYSICS, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",97.44%,0%,0.08,0.3,0.3,Q4,Q4,95/111,0.077,39,22.2,13.8,ESCI,0,0.1,5.70,Q4,108/114,NONLINEAR PHENOM COM,7.5,Q4,106/114,0.2,0.029,"BELARUSSIAN STATE UNIV, JOINT INST POWER & NUCLEAR RESEARCH",38,236
NUKLEONIKA,NUKLEONIKA,0029-5922,1508-5791,2024,0.3,"CHEMISTRY, INORGANIC & NUCLEAR | PHYSICS, NUCLEAR","CHEMISTRY, INORGANIC & NUCLEAR_JCR_JournalResults_02_2026.csv;PHYSICS, NUCLEAR_JCR_JournalResults_02_2026.csv",100%,100%,0.19,0.3,0.8,Q4,Q4,19/22 | 38/44,0.138,29,9.9,9.5,SCIE,0,0.2,1.14 | 15.91,Q4,19/22 | 44/44,NUKLEONIKA,1.2 | 2.3,Q4,22/22 | 43/43,0.3,0.025,SCIENDO,29,459
Opir Materialiv i Teoria Sporud-Strength of Materials and Theory of Structures,OPIR MATERIALIV I TEORIA SPORUD-STRENGTH OF MATERIALS AND THEORY OF STRUCTURES,,2410-2547,2024,0.3,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING","MATERIALS SCIENCE, CHARACTERIZATION & TESTING_JCR_JournalResults_02_2026.csv",100%,100%,0.11,0.3,0.2,Q4,Q4,38/38,0.012,34,,12.6,ESCI,0,0.1,11.84,Q4,34/38,OPIR MATERIALIV TEOR,6.8,Q4,35/37,0.1,0.006,BUDIVELNIK,34,62
Perspectivas em Ciencia da Informacao,PERSPECTIVAS EM CIENCIA DA INFORMACAO,1413-9936,1981-5344,2024,0.3,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,100%,85.06%,0.05,0.3,0.4,Q4,Q4,133/159,0.102,24,10,8.7,ESCI,0,<0.1,12.95,Q4,145/166,PERSPECT CIENC INF,17.8,Q4,137/166,0.3,0.037,"UNIV FEDERAL MINAS GERAIS, ESCOLA BIBLIOTECONOMIA",24,246
PHYSICS WORLD,PHYSICS WORLD,0953-8585,2058-7058,2024,0.3,"PHYSICS, MULTIDISCIPLINARY","PHYSICS, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",43.75%,0%,0.02,0.3,0.4,Q4,Q3,81/111,0.143,16,25.3,,SCIE,0,0.4,0.44,Q4,114/114,PHYS WORLD,7.5,Q4,106/114,0.3,0.034,IOP Publishing Ltd,7,742
Radio Electronics Computer Science Control,RADIO ELECTRONICS COMPUTER SCIENCE CONTROL,1607-3274,2313-688X,2024,0.3,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE_JCR_JournalResults_02_2026.csv",100%,98.14%,0.08,0.3,0.2,Q4,Q4,60/60,0.023,80,3.1,6.5,ESCI,0,0.1,2.50,Q4,59/60,RADIO ELECTRON COMPU,0.8,Q4,60/60,0.2,0.015,ZAPORIZHZHYA NATL TECHNICAL UNIV,80,118
REFRACTORIES AND INDUSTRIAL CERAMICS,REFRACTORIES AND INDUSTRIAL CERAMICS,1083-4877,1573-9139,2024,0.3,"MATERIALS SCIENCE, CERAMICS","MATERIALS SCIENCE, CERAMICS_JCR_JournalResults_02_2026.csv",100%,0%,0.08,0.3,0.4,Q4,Q4,32/32,0.056,78,7.2,12.4,SCIE,0,0.1,10.29,Q4,31/34,REFRACT IND CERAM+,1.5,Q4,34/34,0.2,0.056,SPRINGER,78,614
RUSSIAN METALLURGY,RUSSIAN METALLURGY,0036-0295,1555-6255,2024,0.3,METALLURGY & METALLURGICAL ENGINEERING,METALLURGY & METALLURGICAL ENGINEERING_JCR_JournalResults_02_2026.csv,100%,0%,0.07,0.3,0.3,Q4,Q4,92/94,0.045,216,7.5,9.2,ESCI,0.001,<0.1,3.61,Q4,94/97,RUSS METALL+,2.6,Q4,95/97,0.2,0.112,PLEIADES PUBLISHING INC,216,"1,087"
Scire-Representacion y Organizacion del Conocimiento,SCIRE-REPRESENTACION Y ORGANIZACION DEL CONOCIMIENTO,1135-3716,2340-7042,2024,0.3,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,100%,48.48%,0.04,0.3,0.2,Q4,Q4,148/159,0.037,11,,8.2,ESCI,0,<0.1,9.34,Q4,151/166,SCIRE,17.8,Q4,137/166,0.1,0.004,UNIV ZARAGOZA,11,37
University Politehnica of Bucharest Scientific Bulletin Series B-Chemistry and Materials Science,UNIVERSITY POLITEHNICA OF BUCHAREST SCIENTIFIC BULLETIN SERIES B-CHEMISTRY AND MATERIALS SCIENCE,1454-2331,1454-2331,2024,0.3,"CHEMISTRY, MULTIDISCIPLINARY","CHEMISTRY, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,0%,0.05,0.3,0.3,Q4,Q4,224/238,0.042,99,8.5,7.4,ESCI,0,0.1,4.36,Q4,231/241,U POLITEH BUCH SER B,4.8,Q4,228/239,0.3,0.035,POLYTECHNIC UNIV BUCHAREST,99,462
University Politehnica of Bucharest Scientific Bulletin Series C-Electrical Engineering and Computer Science,UNIVERSITY POLITEHNICA OF BUCHAREST SCIENTIFIC BULLETIN SERIES C-ELECTRICAL ENGINEERING AND COMPUTER SCIENCE,2286-3540,2286-3559,2024,0.3,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,0%,0.05,0.3,0.3,Q4,Q4,357/359,0.025,117,4.4,5.9,ESCI,0,0.1,0.95,Q4,365/368,U POLITEH BUCH SER C,2.6,Q4,359/368,0.2,0.022,POLYTECHNIC UNIV BUCHAREST,117,238
Web Intelligence,WEB INTELLIGENCE,2405-6456,2405-6464,2024,0.3,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv",96.97%,1.15%,0.04,0.3,0.4,Q4,Q4,202/202,0.046,33,,4.9,ESCI,0,0.1,0.25,Q4,204/204,WEB INTELL,0.7,Q4,203/204,0.3,0.011,IOS PRESS,32,96
ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES,ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES,1433-7266,2197-4578,2024,0.3,CRYSTALLOGRAPHY,CRYSTALLOGRAPHY_JCR_JournalResults_02_2026.csv,100%,99.9%,0.16,0.3,0.2,Q4,Q4,31/31,0.012,333,8,9.3,SCIE,0,0.1,4.84,Q4,30/31,Z KRIST-NEW CRYST ST,4.8,Q4,30/31,0.1,0.044,WALTER DE GRUYTER GMBH,333,912
3c Tecnologia,3C TECNOLOGIA,2254-4143,2254-4143,2024,0.2,"ENGINEERING, MULTIDISCIPLINARY","ENGINEERING, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,83.33%,0.1,0.2,0.3,Q4,Q4,161/174,0.043,6,,4.2,ESCI,0,<0.1,15.36,Q4,152/179,3C TECNOL,7.0,Q4,167/179,0.2,0.017,3CIENCIAS,6,74
ADVANCED MATERIALS & PROCESSES,ADVANCED MATERIALS AND PROCESSES,0882-7958,2161-9425,2024,0.2,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",100%,0%,0.03,0.2,0.4,Q4,Q4,444/455,0.055,12,12.9,8.7,SCIE,0,0.1,0.54,Q4,461/463,ADV MATER PROCESS,0.8,Q4,458/461,0.2,0.019,ASM INT,12,527
ArcheoSciences-Revue d Archeometrie,ARCHEOSCIENCES-REVUE D ARCHEOMETRIE,1960-1360,2104-3728,2024,0.2,"CHEMISTRY, ANALYTICAL","CHEMISTRY, ANALYTICAL_JCR_JournalResults_02_2026.csv",,100%,0.15,0.2,0.3,Q4,Q4,105/111,0.076,0,11.1,,SCIE,0,,6.76,Q4,104/111,ARCHEOSCIENCES-REV A,1.4,Q4,110/111,0.2,0.017,PRESSES UNIV RENNES,0,121
