title,year,journal,impact_factor,molecule_name,molecule_cid,molecule_smiles,molecule_type,functional_groups,role,interface_location,pce_max,voc,jsc,ff,perovskite_type,stability
Rationally tailored passivator with multisite surface-anchors for suppressing ion migration toward air-stable perovskite solar cells,,DALTON TRANSACTIONS,4,potassium nonafluoro-1-butanesulfonate (KNFBS),,,,multisite F atoms; sulfonic acid groups; K ions,surface-anchoring passivators to improve the film quality and passivate trap states,surface and grain boundaries (GBs) of perovskite films,20.88,,,,,air stability: None None (fabricated and stored in fully open-air conditions)
Exploring the impact of tailored π-linkers on perovskite solar cell efficiency: a computational study in triphenylamine-based hole transport material design,,OPTICAL AND QUANTUM ELECTRONICS,4,spiro-OMeTAD,16161850,,,,well known HTM,,,,,,,binding energy: None None (None); reorganization energy (RE) of hole: None None (None); stability: None None (None)
Efficient and stable perovskite solar cells based on perfluorinated polymers,,POLYMER CHEMISTRY,4,D2,,,polymeric semiconductor,perfluorinated side chains in their backbone; 26 fluorine atoms per unit,additive,perovskite layer,,,,,,power retention: 94 % (after 80 min under a bias); power retention: 85 % (after 80 min under a bias); power retention: None % (after 80 min under a bias)
Utilizing a Carbazole-Incorporated Regioisomeric Synthesis Strategy to Design Hole Transporting Materials for Perovskite Solar Cells,,CHEMPHOTOCHEM,3.9,TAT-TY3,,,p-type molecule; hole-transporting material (HTM),"triazatruxene endcaps; carbazole pi-bridges; 2,7-carbazole conjugation pathway",hole-transporting material (HTM),TAT-TY3/Perovskite interface,17.9,,,,triple-cation perovskite,
Utilizing a Carbazole-Incorporated Regioisomeric Synthesis Strategy to Design Hole Transporting Materials for Perovskite Solar Cells,,CHEMPHOTOCHEM,3.9,TAT-TY4,,,p-type molecule; hole-transporting material (HTM),"triazatruxene endcaps; carbazole pi-bridges; 3,6-carbazole conjugation pathway",hole-transporting material (HTM),,17.9,,,,triple-cation perovskite,
Utilizing a Carbazole-Incorporated Regioisomeric Synthesis Strategy to Design Hole Transporting Materials for Perovskite Solar Cells,,CHEMPHOTOCHEM,3.9,Spiro-OMeTAD,16161850,,,,hole-transporting material (HTM); reference/alternative,,17.9,,,,triple-cation perovskite,
Efficient defect passivation for high performance perovskite solar cell by adding alizarin red S,,JOURNAL OF MATERIALS SCIENCE,3.9,alizarin red s (ARS),8534,,,,passivate the defect,doped into MAPbI(3) films,18.82,1.103,,,MAPbI(3),carrier lifetimes: None None (None)
Efficient designing of triphenylamine-based hole transport materials with outstanding photovoltaic characteristics for organic solar cells,,JOURNAL OF MATERIALS SCIENCE,3.9,DM1,11343137,,dopant-free HTM,,Hole transport materials (HTMs),,20.6,,,,,stability: None None (None)
Efficient designing of triphenylamine-based hole transport materials with outstanding photovoltaic characteristics for organic solar cells,,JOURNAL OF MATERIALS SCIENCE,3.9,DM4,11686439,,dopant-free HTM,,Hole transport materials (HTMs),,20.6,,,,,stability: None None (None)
Efficient designing of triphenylamine-based hole transport materials with outstanding photovoltaic characteristics for organic solar cells,,JOURNAL OF MATERIALS SCIENCE,3.9,DFM (R),9547919,,outstanding synthetic DFM molecule,,Hole transport materials (HTMs),,20.6,,,,,stability: None None (None)
Efficient designing of triphenylamine-based hole transport materials with outstanding photovoltaic characteristics for organic solar cells,,JOURNAL OF MATERIALS SCIENCE,3.9,PC61BM,53384373,,,,,,20.6,,,,,stability: None None (None)
Efficient designing of triphenylamine-based hole transport materials with outstanding photovoltaic characteristics for organic solar cells,,JOURNAL OF MATERIALS SCIENCE,3.9,Y6,145705715,,,,,,20.6,,,,,stability: None None (None)
Enhanced molecular interaction by polymer additive for efficient and stable flexible perovskite solar cells,,JOURNAL OF MATERIALS SCIENCE,3.9,"poly(D, L-lactide) (PDLLA)",,,biodegradable polymer macromolecule,carbonyl (C = O) groups; hydroxyl (O-H) groups at the end of PDLLA molecules,was doped into perovskite precursor solution to prepare perovskite films,chemically coupled to undercoordinated Pb-2(+) defect sites of perovskite films,18.94,,,,,retained PCE after bending cycles: 92.1 % (after 2000 bending cycles within a bending radius of 2 mm)
Multifunctional molecules of surfactant to support enhanced efficiency and stability for perovskite solar cells,,JOURNAL OF MATERIALS SCIENCE,3.9,cetyl trimethyl ammonium bromide (CTAB),5974,,multifunctional surfactant,Br; quaternary cetyl tertiary ammonium cations,both passivate the two types of ionic vacancies and also enhance the humidity resistance,X- and A-sites,20.54,,,,ternary cation perovskite,percentage of initial efficiency remaining: 94.3 % (after 2000 h without encapsulation in N(2)atmosphere.)
"Multilayered Ruddlesden-Popper perovskite hybrids with alternative organic spacers of 4-XC6H4C2H4NH2 (where X = H, Br, Cl) for solar cell applications",,JOURNAL OF MATERIALS SCIENCE,3.9,4-bromophenylethylammonium (BPEA),,,spacer cation,,spacer cation in multilayered 2D perovskites,,10.88,,,,Two-dimensional (2D) organic-inorganic perovskite hybrid materials,PCE retention: 73 % (unsealed BPEA-based 2D perovskite device after 720 h exposure to 60% humid air); PCE retention: 63 % (unsealed CPEA-based 2D perovskite device after 720 h exposure to 60% humid air); PCE retention: 52 % (unsealed PEA-based 2D device after 720 h exposure to 60% humid air)
"Multilayered Ruddlesden-Popper perovskite hybrids with alternative organic spacers of 4-XC6H4C2H4NH2 (where X = H, Br, Cl) for solar cell applications",,JOURNAL OF MATERIALS SCIENCE,3.9,4-chlorophenylethylammonium (CPEA),,,spacer cation,,spacer cation in multilayered 2D perovskites,,10.88,,,,Two-dimensional (2D) organic-inorganic perovskite hybrid materials,PCE retention: 73 % (unsealed BPEA-based 2D perovskite device after 720 h exposure to 60% humid air); PCE retention: 63 % (unsealed CPEA-based 2D perovskite device after 720 h exposure to 60% humid air); PCE retention: 52 % (unsealed PEA-based 2D device after 720 h exposure to 60% humid air)
Synergistic passivation of defects for inorganic perovskite solar cells with reduced open-circuit voltage deficiency,,JOURNAL OF MATERIALS SCIENCE,3.9,Baclofen (BCF),2284,,,carboxy group; amidogen group; Cl,interlayer between SnO2 and CsPb(IxBr1-x)(3); passivation layer for the SnO2/perovskite (PSK) interface,between SnO2 and CsPb(IxBr1-x)(3); SnO2/perovskite (PSK) interface,15.36,1.31,,,Full-inorganic CsPb(IxBr(1-x))(3) (0 < x < 1),thermal stability: None None (None)
Covalent Attachment and Characterization of Perylene Monolayers on Si(111) and TiO2 for Electron-Selective Carrier Transport,,LANGMUIR,3.9,perylene tetracarboxylic dianhydride (PTCDA),,,,anhydride,reactant in base-catalyzed activation and reaction with phenyl-aminosilane-terminated surfaces,,,,,,,
Covalent Attachment and Characterization of Perylene Monolayers on Si(111) and TiO2 for Electron-Selective Carrier Transport,,LANGMUIR,3.9,perylene,9142,,,imide; anhydride; ester,surface-bound species,surface-attached / surface-bound on Si(111) and TiO2 surfaces,,,,,,
Enhanced Efficiency and Stability of Inverted CsPbI2Br Perovskite Solar Cells via Fluorinated Organic Ammonium Salt Surface Passivation,,LANGMUIR,3.9,4-trifluoromethyl phenylammonium iodide (CFPA),,,,#NAME?,passivator,on the surface of the CsPbI2Br perovskite film,14.37,1.1,,,CsPbI2Br,"degradation: 4 % (after 1992 h in a N-2 glovebox, without encapsulation)"
Enhanced Efficiency and Stability of Inverted CsPbI2Br Perovskite Solar Cells via Fluorinated Organic Ammonium Salt Surface Passivation,,LANGMUIR,3.9,"[6,6]-phenyl C61 butyric acid methyl ester",53384373,,,,charge transport layer,,14.37,1.1,,,CsPbI2Br,"degradation: 4 % (after 1992 h in a N-2 glovebox, without encapsulation)"
Improved Photovoltaic Performance of Inverted Two-Dimensional Perovskite Solar Cells via a Simple Molecular Bridge on Buried Interface,,LANGMUIR,3.9,urea,1176,,molecule,,molecular modifier,buried interface of NiOx/perovskite,16.84,,,,two-dimensional perovskite,stability: None None (in air)
Interfacial Dipole-Induced High Open-Circuit Voltage for Efficient Perovskite Solar Cells,,LANGMUIR,3.9,"3,3,3-trifluoropropionamide (TFAN)",,,polar molecule,,"modify the surface of perovskite films, effectively passivating the uncoordinated Pb2+",surface of perovskite films,25.17,1.23,,,,operational stability: None None (None)
Natural Polyphenol-Assisted Dispersing Liquid Metal/Carbon Composite Electrode for the Superior Interface in Carbon-Based Perovskite Solar Cells,,LANGMUIR,3.9,gallic acid (GA),,,natural polyphenol,polyphenol,adopted to disperse Gallium nanoparticles (Ga NPs) and form an encapsulation layer,,16.58,,,,Carbon-based,PCE retention: 85 % of the initial PCE (stored at room temperature and a relative humidity of 35% for 35 days); structural stability / resistance to water and oxygen invasion: None None (even after 10 days)
Natural Polyphenol-Assisted Dispersing Liquid Metal/Carbon Composite Electrode for the Superior Interface in Carbon-Based Perovskite Solar Cells,,LANGMUIR,3.9,tannic acid (TA),16129778,,natural polyphenol,polyphenol,adopted to disperse Gallium nanoparticles (Ga NPs) and form an encapsulation layer,,16.58,,,,Carbon-based,PCE retention: 85 % of the initial PCE (stored at room temperature and a relative humidity of 35% for 35 days); structural stability / resistance to water and oxygen invasion: None None (even after 10 days)
Surface Reconstruction of a Perovskite Film by an Organic Salt for High-Performance Solar Cells with Improved Stability,,LANGMUIR,3.9,3-(aminomethyl)pyridine (3AP),31018,,organic amine small molecule,aminomethyl; pyridine; amine,modified perovskite film (increased grain sizes and crystallinity; reacted with surface defects; suppressed charge recombination),"surface component, especially the defect site of the PbI6 octahedral layer",17.28,,,75.66,GA(0.07)MA(0.93)PbI(3),PCE retention: 92 % (over 1000 h under ambient conditions)
Surface Reconstruction of a Perovskite Film by an Organic Salt for High-Performance Solar Cells with Improved Stability,,LANGMUIR,3.9,toluene,1140,,,,used as a treatment for perovskite films (toluene-treated perovskite devices),,17.28,,,75.66,GA(0.07)MA(0.93)PbI(3),PCE retention: 92 % (over 1000 h under ambient conditions)
A buried interface modification strategy for enhancing the photovoltaic performance of NiOx-based inverted perovskite solar cells,,VACUUM,3.9,"4,4-difluorocyclohexylamine hydrochloride (simplified as DFCHY)",,,polar molecule material,,buried interface modifier; bridging the NiOx/perovskite interface; suppressing the high oxidation state of Ni3+; enhancing conductivity in NiOx film; passivating buried interface of perovskite film; improving perovskite crystallinity; reducing trap density; enhancing charge transfer at the interface,buried interface of NiOx/perovskite,17.08,,,,planar inverted perovskite solar cells (PSCs),efficiency retention: 90 % (after 1000 h storage in a nitrogen-filled glovebox)
A Mixed PC61BM-COi8DFIC Based Electron Transport Material for Inverted High-performance Perovskite Solar Cells,,CHEMNANOMAT,3.8,"[6, 6]-phenyl-C61-butyric acid methyl ester (PC61BM)",,,,phenyl; butyric acid methyl ester,electron transport layer (ETL) in perovskite solar cells (PSCs),electron transport layer (ETL),19.12,,,,,storage and ambient stabilities: None None (None)
A Mixed PC61BM-COi8DFIC Based Electron Transport Material for Inverted High-performance Perovskite Solar Cells,,CHEMNANOMAT,3.8,COi8DFIC non-fullerene acceptor (NFA),,,non-fullerene acceptor (NFA),various terminal groups,electron transport layer (ETL) in perovskite solar cells (PSCs),perovskite/ETL interface,19.12,,,,,storage and ambient stabilities: None None (None)
Enhanced Photoluminescence and Stability of CH3NH3PbBr3 Perovskite Nanocrystals with Protonated Melamine,,CHEMNANOMAT,3.8,melamine (Mela),7955,,capping ligand,triazine rings; electron-rich nitrogen atoms,capping ligand,capping ligand on PNCs (surface),,,,,CH3NH3PbBr3,stability in protic solvents: None None (None); green photoluminescence stability: None None (None)
Manipulating Perovskite Crystallization and Healing Buried Interfaces via a Versatile Organic Additive for High-Performance Cesium Halide Perovskite Solar Cells,,CRYSTAL GROWTH & DESIGN,3.8,N-(2-acetamido)-2-aminoethanesulfonic acid (AAESA),81832,,organic additive,acetamido; amino; sulfonic acid,added into a CsPbIBr2 precursor for simultaneously ameliorating CsPbIBr2 perovskite quality through manipulating perovskite crystallization and healing the buried interface through forming an AAESA interlayer at the interface,buried CsPbIBr2 perovskite/TiO2 layer interface,10.89,,,,inorganic cesium halide perovskite,efficiency retention: 90 % (without encapsulation after 960 h under ambient conditions)
Mechanochemistry for the Sustainable Synthesis of Organic Hole Transport Materials in Perovskite Solar Cells,,CRYSTAL GROWTH & DESIGN,3.8,tetrabromopyrene,20190787,,,,reactant in 4-fold single-pot mechanochemical C-N coupling,,,,,,,stability: None None (in a naked PSC after 4 weeks)
Mechanochemistry for the Sustainable Synthesis of Organic Hole Transport Materials in Perovskite Solar Cells,,CRYSTAL GROWTH & DESIGN,3.8,phenothiazine,7108,,,,reactant in 4-fold single-pot mechanochemical C-N coupling,,,,,,,stability: None None (in a naked PSC after 4 weeks)
Mechanochemistry for the Sustainable Synthesis of Organic Hole Transport Materials in Perovskite Solar Cells,,CRYSTAL GROWTH & DESIGN,3.8,pyrene-phenothiazine (PYR-PTZ),,,,,effective hole-transport material (HTM) in a perovskite solar cell (PSC),,,,,,,stability: None None (in a naked PSC after 4 weeks)
Mechanochemistry for the Sustainable Synthesis of Organic Hole Transport Materials in Perovskite Solar Cells,,CRYSTAL GROWTH & DESIGN,3.8,spiro-MeOTAD,16161850,,,,,,,,,,,stability: None None (in a naked PSC after 4 weeks)
Nanoconfined Crystallization of MAPbI3 to Probe Crystal Evolution and Stability,,CRYSTAL GROWTH & DESIGN,3.8,methylammonium iodide (MAI),519034,,,,component of the cosolution used to prepare nanoconfined crystals,,,,,,methylammonium lead iodide (MAPbI(3)),degradation time to PbI2: 2 weeks (air exposure (unconfined MAPbI(3) crystals)); stability over air exposure: 2 weeks (air exposure (MAPbI(3) crystals confined in AAO templates with a characteristic pore size of 100 nm))
Nanoconfined Crystallization of MAPbI3 to Probe Crystal Evolution and Stability,,CRYSTAL GROWTH & DESIGN,3.8,"N,N-dimethylformamide",6228,,solvent,,solvent used to dissolve PbI2 and MAI,,,,,,methylammonium lead iodide (MAPbI(3)),degradation time to PbI2: 2 weeks (air exposure (unconfined MAPbI(3) crystals)); stability over air exposure: 2 weeks (air exposure (MAPbI(3) crystals confined in AAO templates with a characteristic pore size of 100 nm))
Nanoconfined Crystallization of MAPbI3 to Probe Crystal Evolution and Stability,,CRYSTAL GROWTH & DESIGN,3.8,dimethyl sulfoxide,,,solvent,,solvent used to dissolve PbI2 and MAI,,,,,,methylammonium lead iodide (MAPbI(3)),degradation time to PbI2: 2 weeks (air exposure (unconfined MAPbI(3) crystals)); stability over air exposure: 2 weeks (air exposure (MAPbI(3) crystals confined in AAO templates with a characteristic pore size of 100 nm))
Benzodithiophene-Based Copolymers as Dopant-Free Hole-Transporting Materials for Perovskite Solar Cells,2024,ENERGY TECHNOLOGY,3.8,benzodithiophene (BDT),,,donor unit,,component for the synthesis of molecules and polymers for photovoltaic applications,,26.4,,,,single-junction perovskite solar cells (PSCs),long-term stability: None None (None)
Benzodithiophene-Based Copolymers as Dopant-Free Hole-Transporting Materials for Perovskite Solar Cells,2024,ENERGY TECHNOLOGY,3.8,thienothiophene,136063,,acceptor unit,,acceptor unit in perovskite solar cells,,26.4,,,,single-junction perovskite solar cells (PSCs),long-term stability: None None (None)
Benzodithiophene-Based Copolymers as Dopant-Free Hole-Transporting Materials for Perovskite Solar Cells,2024,ENERGY TECHNOLOGY,3.8,benzodithiophene-dione,,,acceptor unit,,acceptor unit in perovskite solar cells,,26.4,,,,single-junction perovskite solar cells (PSCs),long-term stability: None None (None)
Benzodithiophene-Based Copolymers as Dopant-Free Hole-Transporting Materials for Perovskite Solar Cells,2024,ENERGY TECHNOLOGY,3.8,benzothiadiazole,67505,,acceptor unit,,acceptor unit in perovskite solar cells,,26.4,,,,single-junction perovskite solar cells (PSCs),long-term stability: None None (None)
Benzodithiophene-Based Copolymers as Dopant-Free Hole-Transporting Materials for Perovskite Solar Cells,2024,ENERGY TECHNOLOGY,3.8,benzotriazole,7220,,acceptor unit,,acceptor unit in perovskite solar cells,,26.4,,,,single-junction perovskite solar cells (PSCs),long-term stability: None None (None)
Cage Polyamine Molecule Hexamethylenetetramine as Additives for Improving Performance of Perovskite Solar Cells,,ENERGY TECHNOLOGY,3.8,hexamethylenetetramine (HMTA),,,cage polyamine molecule,cage polyamine,additive,tin oxide electron transport layer (ETL),22.37,,,,,stability: None None (None)
Co-Solvent Assisted Optimization of the CuSCN Hole Transport Layer for Enhancing the Efficiency of Ambient Processable Perovskite Solar Cells with Carbon Counter Electrodes,,ENERGY TECHNOLOGY,3.8,copper(I) thiocyanate (CuSCN),,,inorganic hole transport layer (HTL),,inorganic hole transport layer (HTL),perovskite-HTL interface,11,1.01,24.65,,MAPbI(3),PCE retention: 80 % (stored under ambient atmosphere after 10 days)
Co-Solvent Assisted Optimization of the CuSCN Hole Transport Layer for Enhancing the Efficiency of Ambient Processable Perovskite Solar Cells with Carbon Counter Electrodes,,ENERGY TECHNOLOGY,3.8,Dipropyl sulfide (DPS),8118,,sulfide-based solvent,sulfide,solvent for CuSCN dissolution,,11,1.01,24.65,,MAPbI(3),PCE retention: 80 % (stored under ambient atmosphere after 10 days)
Co-Solvent Assisted Optimization of the CuSCN Hole Transport Layer for Enhancing the Efficiency of Ambient Processable Perovskite Solar Cells with Carbon Counter Electrodes,,ENERGY TECHNOLOGY,3.8,Acetonitrile (ACN),6342,,co-solvent; polar aprotic solvent,C=N bond,co-solvent added to increase CuSCN dissolution; Lewis-base,,11,1.01,24.65,,MAPbI(3),PCE retention: 80 % (stored under ambient atmosphere after 10 days)
Diethylammonium Iodide Assisted Grain Growth with Sub-Grain Cluster to Passivate Grain Boundary for CH3NH3PbI3Perovskite Solar Cells,,ENERGY TECHNOLOGY,3.8,diethylammonium iodide (DAI),,,,,effective template-agent to control the perovskite crystallization during preparation,in chlorobenzene (CB),20.31,,,,CH3NH3PbI3(MAPbI(3)),current-voltage hysteresis: None None (None)
Diethylammonium Iodide Assisted Grain Growth with Sub-Grain Cluster to Passivate Grain Boundary for CH3NH3PbI3Perovskite Solar Cells,,ENERGY TECHNOLOGY,3.8,chlorobenzene (CB),7964,,,,,,20.31,,,,CH3NH3PbI3(MAPbI(3)),current-voltage hysteresis: None None (None)
Diethylammonium Iodide Assisted Grain Growth with Sub-Grain Cluster to Passivate Grain Boundary for CH3NH3PbI3Perovskite Solar Cells,,ENERGY TECHNOLOGY,3.8,DA(2)PbI(4),,,,,form the sub-grains to passivate GB defects and cover the surface to passivate surface defects,sub-grains; surface,20.31,,,,CH3NH3PbI3(MAPbI(3)),current-voltage hysteresis: None None (None)
Differentially Accelerated Electron and Hole Diffusion in MAPbI3 Film Surface Treated by a Quaternary Ammonium Halide for High-Efficiency Solar Cells,,ENERGY TECHNOLOGY,3.8,tetra-ethyl ammonium iodine (TEAI),,,,,passivate both the negatively and positively charged defects,surface,,,,,MAPbI(3),long-term stability: None None (None); moisture stability: None None (None)
Efficient Perovskite Solar Cells Enabled by Facile Synthesis of Triphenylamine-Based Hole-Transport Material with D-A1-A2 Structure,,ENERGY TECHNOLOGY,3.8,"poly(3,4-ethylenedioxythiophene) polystyrene sulfonate polymeric HTM",,,polymeric HTM,,polymeric HTM,,17.8,,,,,performance retention: 95 % (60 d in an N-2 atmosphere without encapsulation)
Efficient and Stable Carbon-Based All-Inorganic CsPbIBr2 Perovskite Solar Cells Obtained via Treatment by Biological Active Substance Additive,,ENERGY TECHNOLOGY,3.8,adenosine,60961,,small biological molecule,,additive,perovskite precursor,10.24,,,,All-inorganic perovskite semiconductor materials,
Efficient and Stable Carbon-Based All-Inorganic CsPbIBr2 Perovskite Solar Cells Obtained via Treatment by Biological Active Substance Additive,,ENERGY TECHNOLOGY,3.8,adenine,190,,,,introduced as a comparative study,,10.24,,,,All-inorganic perovskite semiconductor materials,
Enhanced Stability through Efficient Suppression of Iodine Oxidation Pathways in CsFAMA Perovskite Solar Cells via Thiourea-Based Molecule,,ENERGY TECHNOLOGY,3.8,4-(Carbamothioylamino)phenylthiourea (CPTU),,,additive,thiourea; sulfur; amino,"passivate surface and bulk defects, suppress iodide oxidation, and mitigate superoxidation-induced degradation",perovskite active layer,22.97,,,,triple-cation CsFAMA-based PSCs,"PCE retention: 92 % (continuous illumination (45 degrees C), 500 h); PCE retention: 84 % (continuous illumination (45 degrees C), 1000 h)"
Improving Hole Transport and Extraction by Interface Engineering in Perovskite Solar Cells,,ENERGY TECHNOLOGY,3.8,tetraphenyldibenzoperiflanthene (DBP),16149343,,organic material,,modify the perovskite/spiro-OMeTAD interface as the intermediate layer,perovskite/spiro-OMeTAD interface,,,,,perovskite solar cells (PSCs),stability: None None (humid conditions)
Improving Hole Transport and Extraction by Interface Engineering in Perovskite Solar Cells,,ENERGY TECHNOLOGY,3.8,spiro-OMeTAD,16161850,,,,part of perovskite/spiro-OMeTAD interface,perovskite/spiro-OMeTAD interface,,,,,perovskite solar cells (PSCs),stability: None None (humid conditions)
Interface Engineering in Perovskite Solar Cells by Low Concentration of Phenylethyl Ammonium Iodide Solution in the Antisolvent Step,,ENERGY TECHNOLOGY,3.8,phenylethyl ammonium iodide (PEAI) salt,,,functional organic molecule,,additive,surface of the perovskite and grain boundaries,,,,,halide perovskite,moisture tolerance: None None (None)
Performance and Stability Improvement of Inverted Perovskite Solar Cells by Interface Modification of Charge Transport Layers Using an Azulene-Pyridine Molecule,,ENERGY TECHNOLOGY,3.8,azulene-pyridine molecule (AzPy),,,azulene-pyridine molecule,azulene; pyridine,implemented in inverted perovskite solar cells (PSCs) for increasing the power conversion efficiency (PCE) and the stability of the devices; deposited as a thin layer on top of the hole charge transport layer (HTL); used as a hydrophobic replacement for BCP over the electron transport layer (ETL),on top of the hole charge transport layer (HTL); over the electron transport layer (ETL),20.42,,,,inverted perovskite,PCE retention: 90 % (more than 1200 h under ambient conditions); stability under stress: None None (ambient conditions and thermal or light stress)
Performance and Stability Improvement of Inverted Perovskite Solar Cells by Interface Modification of Charge Transport Layers Using an Azulene-Pyridine Molecule,,ENERGY TECHNOLOGY,3.8,bathocuproine (BCP),65149,,bathocuproine,,hydrophilic layer that is replaced by AzPy,electron transport layer (ETL),20.42,,,,inverted perovskite,PCE retention: 90 % (more than 1200 h under ambient conditions); stability under stress: None None (ambient conditions and thermal or light stress)
Performance and Stability Improvement of Inverted Perovskite Solar Cells by Interface Modification of Charge Transport Layers Using an Azulene-Pyridine Molecule,,ENERGY TECHNOLOGY,3.8,n-hexylammonium bromide,10130235,,n-hexylammonium bromide,n-hexylammonium; bromide,perovskite surface treatment implemented in conjunction with the interface engineering approaches,,20.42,,,,inverted perovskite,PCE retention: 90 % (more than 1200 h under ambient conditions); stability under stress: None None (ambient conditions and thermal or light stress)
"Rational Design of Cyclopenta[2,1-b;3,4-b′]dithiophene-bridged Hole Transporting Materials for Highly Efficient and Stable Perovskite Solar Cells",,ENERGY TECHNOLOGY,3.8,spiro-OMeTAD,16161850,,,,HTM,,17.71,,,,CH3NH3PbI3,stability: 1300 h (None)
"Rational Design of Cyclopenta[2,1-b;3,4-b′]dithiophene-bridged Hole Transporting Materials for Highly Efficient and Stable Perovskite Solar Cells",,ENERGY TECHNOLOGY,3.8,triphenylamine,11775,,,,,,17.71,,,,CH3NH3PbI3,stability: 1300 h (None)
"Rational Design of Cyclopenta[2,1-b;3,4-b′]dithiophene-bridged Hole Transporting Materials for Highly Efficient and Stable Perovskite Solar Cells",,ENERGY TECHNOLOGY,3.8,carbazole,6854,,,,,,17.71,,,,CH3NH3PbI3,stability: 1300 h (None)
"Rational Design of Cyclopenta[2,1-b;3,4-b′]dithiophene-bridged Hole Transporting Materials for Highly Efficient and Stable Perovskite Solar Cells",,ENERGY TECHNOLOGY,3.8,"4H-cyclopenta[2,1-b : 3,4-b ']dithiophene",,,,,central core (of HTMs),,17.71,,,,CH3NH3PbI3,stability: 1300 h (None)
A Fluorination Strategy and Low-Acidity Anchoring Group in Self-Assembled Molecules for Efficient and Stable Inverted Perovskite Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,MPA-BT-BA,,,donor-acceptor (D-A) type small organic molecule with self-assembly properties,benzoic acid,hole transport material,perovskite layer,20.32,,,,,"PCE retention: 93 % (kept in an N2 glove box for 116 days, unsealed PSCs); PCE retention: 91 % (exposed to air with a relative humidity range of 30 +/- 5 % for 43 days)"
A Fluorination Strategy and Low-Acidity Anchoring Group in Self-Assembled Molecules for Efficient and Stable Inverted Perovskite Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,MPA-2FBT-BA,,,donor-acceptor (D-A) type small organic molecule with self-assembly properties,benzoic acid,hole transport material,perovskite layer,20.32,,,,,"PCE retention: 93 % (kept in an N2 glove box for 116 days, unsealed PSCs); PCE retention: 91 % (exposed to air with a relative humidity range of 30 +/- 5 % for 43 days)"
A Self-Assembled Small-Molecule-Based Hole-Transporting Material for Inverted Perovskite Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,anthradi-7-azaindole (ADAI),,,fused azapolyheteroaromatic small molecule,,hole-transporting layer,in perovskite solar cells with inverted architecture,,,,,Hybrid organic-inorganic perovskite,
"A peri-Xanthenoxanthene Centered Columnar-Stacking Organic Semiconductor for Efficient, Photothermally Stable Perovskite Solar Cells",,CHEMISTRY-A EUROPEAN JOURNAL,3.7,2-naphthol,8663,,,,starting material,,19.8,,,,,long-term stability: None None (continuous full sunlight exposure at 40 degrees C)
"A peri-Xanthenoxanthene Centered Columnar-Stacking Organic Semiconductor for Efficient, Photothermally Stable Perovskite Solar Cells",,CHEMISTRY-A EUROPEAN JOURNAL,3.7,"2,2-7,7-tetrakis(N,N '-di-paramethoxy-phenylamine 9,9 '-spirobifluorene (spiro-OMeTAD)",,,,,state-of-the art hole-transporter,,19.8,,,,,long-term stability: None None (continuous full sunlight exposure at 40 degrees C)
An Efficient Amphiphilic-Type Triphenylamine-Based Organic Hole Transport Material for High-Performance and Ambient-Stable Dopant-Free Perovskite and Organic Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,"Spiro-OMeTAD (2,2,7,7-tetrakis(N,N-di-p-methoxyphenylamine)-9,9-spirobifluorene)",,,standard HTM,,standard HTM,,11.45,,,,,long-term air stability: 700 h (air)
Dendritic-Like Molecules Built on a Pillar[5]arene Core as Hole Transporting Materials for Perovskite Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,pillar[5]arene core,,,,,core onto which dendrons were grafted,,,,,,,ageing time: 500 h (high-throughput ageing setup at high temperature)
Dendritic-Like Molecules Built on a Pillar[5]arene Core as Hole Transporting Materials for Perovskite Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,spiro-OMeTAD,16161850,,,,reference device material,,,,,,,ageing time: 500 h (high-throughput ageing setup at high temperature)
Dual-Functional Top-Interface Passivation Using a Thiohydantoin Derivative for High-Performance Perovskite Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,3-Phenyl-2-Thiohydantoin-5-Propionic Acid (PTGA),2872155,,multifunctional molecule,NH; C = O; COOH,interlayer at PVK/ETL interface,PVK/ETL interface,25.13,,,,inverted perovskite solar cells (PSCs),long-term storage stability: None None (None); persistent light illumination stability: None None (None)
Highly Stable Perovskite Solar Cells Based on the Efficient Interaction between Pb2+ and Cyano Groups of 4-Aminophthalonitrile,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,4-Aminophthalonitrile (4-APN),92529,,small molecule material,cyano groups (-C equivalent to N),passivation additive to mitigate surface defects,grain boundaries; interface between the perovskite layer and the hole transport layer,,,,,,performance degradation: negligible hours (None)
"In CH3NH3PbI3 Perovskite Film, the Surface Termination Layer Dominates the Moisture Degradation Pathway",,CHEMISTRY-A EUROPEAN JOURNAL,3.7,MAI,,,,,surface termination,on polycrystalline MAPbI(3) films,,,,,MAPbI(3),
Influence of Alkoxy Chain Length on the Properties of Two-Dimensionally Expanded Azulene-Core-Based Hole-Transporting Materials for Efficient Perovskite Solar Cells,,CHEMISTRY-A EUROPEAN JOURNAL,3.7,spiro-OMeTAD,16161850,,,p-methoxyphenyl; amino,,,18.9,,,,,amorphous stability: 233 degrees C (None); amorphous stability: 159 degrees C (None)
